"97e6cb7","Theassa","Mon, 20 May 2024 17:08:19 +1000","fix get api","",		 3 files changed, 44 insertions(+), 45 deletions(-)
"5a01526","Theassa","Mon, 20 May 2024 14:32:12 +1000","fix responsive design","",		 3 files changed, 46 insertions(+), 23 deletions(-)
"e421aef","Theassa","Mon, 20 May 2024 14:26:33 +1000","fix navbar","",		 2 files changed, 47 insertions(+), 44 deletions(-)
"ab154f8","Theassa","Mon, 20 May 2024 13:02:10 +1000","fix responsive design for brand pages","",		 1 file changed, 9 insertions(+)
"079bd19","Theassa","Mon, 20 May 2024 12:59:38 +1000","fix responsive design for home page","",		 1 file changed, 16 insertions(+)
"3f68db4","Theassa","Mon, 20 May 2024 12:59:27 +1000","fix responsive design for sidenav","",		 3 files changed, 103 insertions(+), 5 deletions(-)
"cb0cd02","Theassa","Mon, 20 May 2024 10:19:50 +1000","fix get api and organize the code","",		 1 file changed, 136 insertions(+), 87 deletions(-)
"adca7d7","Theassa","Mon, 20 May 2024 10:06:53 +1000","added border color","",		 1 file changed, 1 insertion(+)
"5aabf50","Theassa","Mon, 20 May 2024 10:06:39 +1000","better design on add product page","",		 2 files changed, 37 insertions(+), 11 deletions(-)
"cf05c25","Theassa","Mon, 20 May 2024 09:19:09 +1000","remove","",		 1 file changed, 14 deletions(-)
"fa56980","Theassa","Mon, 20 May 2024 09:18:52 +1000","switch to using GET api","",		 2 files changed, 9 insertions(+), 76 deletions(-)
"0ae4659","Theassa","Mon, 20 May 2024 09:18:35 +1000","remove unused stylesheet","",		 10 files changed, 40 deletions(-)
"bb5f690","Theassa","Mon, 20 May 2024 09:17:58 +1000","Change to add product page","",		 2 files changed, 155 insertions(+), 74 deletions(-)
"d4c41f8","Theassa","Mon, 20 May 2024 09:17:37 +1000","remove factbox","",		 1 file changed, 4 deletions(-)
"b8b5dfe","Theassa","Thu, 16 May 2024 13:19:54 +1000","put up post api","",		 2 files changed, 50 insertions(+), 3 deletions(-)
"9125a07","Theassa","Thu, 16 May 2024 13:16:26 +1000","change form to match api","",		 2 files changed, 40 insertions(+), 18 deletions(-)
"df98c51","Theassa","Thu, 16 May 2024 12:59:16 +1000","change name from contribute to add_product","",		 4 files changed, 59 insertions(+), 59 deletions(-)
"2732079","Theassa","Thu, 16 May 2024 12:11:49 +1000","fix the use of navbar","",		 1 file changed, 32 insertions(+), 8 deletions(-)
"08872e6","Theassa","Thu, 16 May 2024 12:11:39 +1000","fix so that that only the content is in the  html","",		 13 files changed, 918 insertions(+), 1352 deletions(-)
"04192ff","Theassa","Thu, 16 May 2024 11:21:06 +1000","added iframe for content","",		 3 files changed, 82 insertions(+), 44 deletions(-)
"2fddc29","Theassa","Fri, 10 May 2024 09:37:45 +1000","fix so the api is only called when design.html is open","",		 1 file changed, 33 insertions(+), 25 deletions(-)
"1ce5c5f","Theassa","Fri, 10 May 2024 09:24:35 +1000","add get api and factbox","",		 3 files changed, 55 insertions(+), 1 deletion(-)
"c8d0d2c","Theassa","Wed, 1 May 2024 13:54:43 +1000","fix of links","",		 2 files changed, 7 insertions(+), 2 deletions(-)
"c695dec","Theassa","Wed, 1 May 2024 13:49:06 +1000","fix link","",		 1 file changed, 1 insertion(+), 1 deletion(-)
"e9198d1","Theassa","Wed, 1 May 2024 13:14:52 +1000","fix of links","",		 3 files changed, 7 insertions(+), 5 deletions(-)
"9649dbf","Theassa","Wed, 1 May 2024 13:12:50 +1000","fix sidenav navigation","",		 15 files changed, 44 insertions(+), 18 deletions(-)
"e47fd9c","Theassa","Wed, 1 May 2024 13:07:21 +1000","set up products pages","",		 4 files changed, 409 insertions(+), 29 deletions(-)
"6fb6711","Theassa","Wed, 1 May 2024 13:07:04 +1000","add images of clothes","",		 27 files changed, 0 insertions(+), 0 deletions(-)
"5a3425b","Theassa","Wed, 1 May 2024 11:19:35 +1000","change dropdown","",		 2 files changed, 6 insertions(+), 6 deletions(-)
"da9ef01","Theassa","Wed, 1 May 2024 11:19:14 +1000","edit links and add content to brand pages","",		 3 files changed, 61 insertions(+), 48 deletions(-)
"efc7b69","Theassa","Wed, 1 May 2024 11:18:38 +1000","make education pages","",		 4 files changed, 282 insertions(+), 24 deletions(-)
"9f069a0","Theassa","Wed, 1 May 2024 11:18:04 +1000","restructure of shop products pages","",		 7 files changed, 173 insertions(+), 131 deletions(-)
"a78ef41","Theassa","Wed, 1 May 2024 11:17:10 +1000","add images of clothes","",		 3 files changed, 0 insertions(+), 0 deletions(-)
"7009045","Theassa","Tue, 30 Apr 2024 10:43:20 +1000","make the ecochic threads page","",		 4 files changed, 42 insertions(+), 33 deletions(-)
"72b6528","Theassa","Tue, 30 Apr 2024 10:37:20 +1000","copied greengarb collective as template on the other brand pages","",		 2 files changed, 134 insertions(+), 8 deletions(-)
"6d1cbbb","Theassa","Tue, 30 Apr 2024 10:36:41 +1000","make greengarb collective page","",		 8 files changed, 49 insertions(+), 3 deletions(-)
"83f55d0","Theassa","Tue, 30 Apr 2024 10:19:32 +1000","set up greengarb collective page","",		 3 files changed, 59 insertions(+), 8 deletions(-)
"bc31b3c","Theassa","Tue, 30 Apr 2024 09:51:23 +1000","add that click on logo goes back to home-page","",		 13 files changed, 36 insertions(+), 14 deletions(-)
"685ed84","Theassa","Tue, 30 Apr 2024 09:51:01 +1000","move content from home to index","",		 3 files changed, 48 insertions(+), 68 deletions(-)
"ba07fd3","Theassa","Tue, 30 Apr 2024 09:34:21 +1000","set up page with header and sidenav","",		 11 files changed, 616 insertions(+)
"f0308ba","Theassa","Tue, 30 Apr 2024 09:33:24 +1000","set up all pages","",		 12 files changed, 19 deletions(-)
"a2eff02","Theassa","Tue, 30 Apr 2024 09:30:16 +1000","change link to match potential set up","",		 1 file changed, 11 insertions(+), 11 deletions(-)
"b70bbfb","Theassa","Mon, 29 Apr 2024 14:21:28 +1000","set up initial site for brands","",		 1 file changed, 19 insertions(+)
"0dd9f52","Theassa","Mon, 29 Apr 2024 14:21:07 +1000","set up css for homepage","",		 1 file changed, 31 insertions(+)
"294e12a","Theassa","Mon, 29 Apr 2024 14:20:50 +1000","set up homepage with content","",		 1 file changed, 54 insertions(+)
"9bfa08c","Theassa","Mon, 29 Apr 2024 14:20:19 +1000","set up index page with header, navbar, css and js","",		 4 files changed, 186 insertions(+)
"0f9914e","Theassa","Mon, 29 Apr 2024 14:19:04 +1000","add logos for use on website","",		 7 files changed, 0 insertions(+), 0 deletions(-)
"4a1000f","Theassa","Mon, 29 Apr 2024 14:18:06 +1000","make structure for the project","",		 1 file changed, 3 insertions(+)
